"_id","_labels","Name","activePlan","color","competency_ref","currentLevel","default_expiration","default_weight","id","label","label_created","label_es_created","label_es_modified","label_fr","label_fr_created","label_fr_modified","label_modified","level","ms","parent_id","plan_class","primaryDomain","primaryOrg","smartsheet_id","userId","_start","_end","_type","min","order","planId","startDate","userId"
"0",":Domain","","","","","","","","1","Language Technology","","","","Technologie Linguistique","","","","","","","","","","","",,,,,,,,
"1",":Competency","","","","","","none","1.0","LT-6436229566752644","Language Programs","","","","","","","","","","1932629939382148","","","","6436229566752644","",,,,,,,,
"2",":Competency","","","","","","none","1.0","LT-4184429753067396","Computer Hardware","","","","","","","","","","1932629939382148","","","","4184429753067396","",,,,,,,,
"3",":Competency","","","","","","none","1.0","LT-8688029380437892","OS Basics","","","","","","","","","","1932629939382148","","","","8688029380437892","",,,,,,,,
"4",":Competency","","","","","","none","1.0","LT-525255055828868","Fonts & Encoding","","","","","","","","","","1932629939382148","","","","525255055828868","",,,,,,,,
"5",":Competency","","","","","","none","1.0","LT-5028854683199364","Keyboards","","","","","","","","","","1932629939382148","","","","5028854683199364","",,,,,,,,
"6",":Competency","","","","","","none","1.0","LT-2777054869514116","Malware","","","","","","","","","","1932629939382148","","","","2777054869514116","",,,,,,,,
"7",":Competency","","","","","","none","1.0","LT-1651154962671492","Translation Tools","","","","","","","","","","7280654496884612","","","","1651154962671492","",,,,,,,,
"8",":Competency","","","","","","none","1.0","LT-6154754590041988","Scripture Markup","","","","","","","","","","7280654496884612","","","","6154754590041988","",,,,,,,,
"9",":Competency","","","","","","none","1.0","LT-3902954776356740","Lexical Tools","","","","","","","","","","7280654496884612","","","","3902954776356740","",,,,,,,,
"10",":Competency","","","","","","none","1.0","LT-8406554403727236","Lexical Markup","","","","","","","","","","7280654496884612","","","","8406554403727236","",,,,,,,,
"11",":Competency","","","","","","none","1.0","LT-1088205009250180","Lexical Import","","","","","","","","","","7280654496884612","","","","1088205009250180","",,,,,,,,
"12",":Competency","","","","","","none","1.0","LT-5591804636620676","Morphological Parsing","","","","","","","","","","7280654496884612","","","","5591804636620676","",,,,,,,,
"13",":Competency","","","","","","none","1.0","LT-3340004822935428","Phonology Tools","","","","","","","","","","7280654496884612","","","","3340004822935428","",,,,,,,,
"14",":Competency","","","","","","none","1.0","LT-7843604450305924","Language Documentation","","","","","","","","","","7280654496884612","","","","7843604450305924","",,,,,,,,
"15",":Competency","","","","","","none","1.0","LT-2214104916092804","Instrumental Analysis","","","","","","","","","","7280654496884612","","","","2214104916092804","",,,,,,,,
"16",":Competency","","","","","","none","1.0","LT-6717704543463300","Data Conversion","","","","","","","","","","7280654496884612","","","","6717704543463300","",,,,,,,,
"17",":Competency","","","","","","none","1.0","LT-8633750951094148","Software Development","","","","","","","","","","7280654496884612","","","","8633750951094148","",,,,,,,,
"18",":Competency","","","","","","none","1.0","LT-4465904729778052","Archiving & Copyright","","","","","","","","","","7280654496884612","","","","4465904729778052","",,,,,,,,
"19",":Competency","","","","","","none","1.0","LT-8969504357148548","Research and Publication","","","","","","","","","","7280654496884612","","","","8969504357148548","",,,,,,,,
"20",":PlanRoot","","","","","","","","1","Language Technologist","","","","Technologiste Linguistique","","","","","","","Generic","","","","",,,,,,,,
"21",":CompetencyGroup","","","","","","","","LT-3445557939201924","Subgroup3.1","","","","","","","","2","","6823257659729796","","","","3445557939201924","",,,,,,,,
"22",":TargetCompetency","","","","","","","","TC-6436229566752644-01","Familarity with objectives and various tasks of a language  program","2018-01-16T14:34:56Z","2018-08-13T19:37:30Z","2019-03-07T20:56:44Z","Familier aux objectifs et les différentes tâches d’un programme de  langue","2018-01-16T17:38:22Z","2019-11-19T08:41:14Z","2019-09-09T06:23:36Z","","","","","","","","",,,,,,,,
"23",":TargetCompetency","","","","","","","","TC-4184429753067396-01","Familiarity with basic components of a computer","2018-01-16T14:34:56Z","2018-08-13T19:37:30Z","2018-08-13T20:12:39Z","Familier avec les composants de base d’un ordinateur","2018-01-16T17:38:22Z","2019-11-19T08:41:14Z","2019-09-09T06:23:36Z","","","","","","","","",,,,,,,,
"24",":TargetCompetency","","","","","","","","TC-8688029380437892-01","Familiarity with current operating systems in use in your  location","2018-01-16T14:34:56Z","2018-08-13T19:37:30Z","2018-08-13T20:12:39Z","Familier avec les systèmes d’exploitation actuels en usage dans votre  emplacement","2018-01-16T17:38:22Z","2018-02-25T12:07:08Z","2018-02-24T23:16:47Z","","","","","","","","",,,,,,,,
"25",":TargetCompetency","","","","","","","","TC-525255055828868-01","Understanding usage and development of fonts, encoding, and glyphs used to  display scripts.","2018-01-16T14:34:56Z","2018-08-13T19:37:30Z","2018-08-13T20:12:39Z","Compréhension complete des polices, l’encodage et glyphes utilisés pour  afficher des scripts.","2018-01-16T17:38:22Z","2018-02-26T15:01:24Z","2019-05-08T19:33:43Z","","","","","","","","",,,,,,,,
"26",":TargetCompetency","","","","","","","","TC-5028854683199364-01","Ability to create and implement customized solutions for typing  non-standard characters .","2018-01-16T14:34:56Z","2018-08-13T19:37:30Z","2018-08-13T20:12:39Z","Capacité à créer et à mettre en œuvre des solutions personnalisées pour  saisir des caractères non standards .","2018-01-16T17:38:22Z","2018-02-26T15:01:24Z","2018-11-14T00:44:59Z","","","","","","","","",,,,,,,,
"27",":TargetCompetency","","","","","","","","TC-2777054869514116-01","Malware prevention","2018-01-16T14:34:56Z","2018-08-13T19:37:30Z","2018-08-13T20:12:39Z","Prévention de Malware","2018-01-16T17:38:22Z","2018-02-25T12:07:08Z","2018-02-24T23:16:47Z","","","","","","","","",,,,,,,,
"28",":TargetCompetency","","","","","","","","TC-1651154962671492-01","Knowledge of current recommended translation software","2018-01-16T14:34:56Z","2018-08-13T19:37:30Z","2018-08-13T20:12:39Z","Connaissance des logiciels de traduction recommandée  actuels","2018-01-16T17:38:22Z","2019-11-19T10:04:48Z","2019-09-09T13:44:20Z","","","","","","","","",,,,,,,,
"29",":TargetCompetency","","","","","","","","TC-6154754590041988-01","Knows the markup languages for tagging Scripture data and how to import  Scripture data into current translation software","2018-01-16T14:34:56Z","2018-08-13T19:37:30Z","2018-08-13T20:12:39Z","Connaissance des langages de balisage pour le marquage des données  bibliques et comment importer des données bibliques dans les logiciels de traduction  actuelle","2018-01-16T17:38:22Z","2019-11-19T10:04:48Z","2019-11-19T09:55:41Z","","","","","","","","",,,,,,,,
"30",":TargetCompetency","","","","","","","","TC-3902954776356740-01","Knowledge of current tools for building lexicons","2018-01-16T14:34:56Z","2018-08-13T19:37:30Z","2018-08-13T20:12:39Z","Connaissance des outils actuels pour la gestion de lexiques","2018-01-16T17:38:22Z","2019-11-19T10:17:50Z","2019-09-09T13:44:20Z","","","","","","","","",,,,,,,,
"31",":TargetCompetency","","","","","","","","TC-8406554403727236-01","Knows common markup languages for tagging lexical data","2018-01-16T14:34:56Z","2018-08-13T19:37:30Z","2018-08-13T20:12:39Z","Connaissance des langages de balisage actuels pour le marquage des données  lexicales.","2018-01-16T17:38:22Z","2018-02-26T16:47:15Z","2018-02-24T23:16:47Z","","","","","","","","",,,,,,,,
"32",":TargetCompetency","","","","","","","","TC-1088205009250180-01","Knows how to disambiguate and import language data into current lexical  software","2018-01-16T14:34:56Z","2018-08-13T19:37:30Z","2018-08-13T20:12:39Z","Sait comment éliminer les ambiguïtés et importer des données de langue  dans des logiciels lexicaux actuels.","2018-01-16T17:38:22Z","2019-11-19T10:17:50Z","2019-11-19T10:12:02Z","","","","","","","","",,,,,,,,
"33",":TargetCompetency","","","","","","","","TC-5591804636620676-01","Knowledge of linguistics and grammar to aid in parsing texts and  interlinears.","2018-01-16T14:34:56Z","2018-08-13T19:37:30Z","2018-08-13T20:12:39Z","Connaissance de la linguistique et la grammaire afin de faciliter  l’analyse des textes et interlinéaires.","2018-01-16T17:38:22Z","2019-11-19T10:17:50Z","2019-11-19T10:21:52Z","","","","","","","","",,,,,,,,
"34",":TargetCompetency","","","","","","","","TC-3340004822935428-01","Knowledge of the current recommended phonology software","2018-01-16T14:34:56Z","2018-08-13T19:37:30Z","2018-08-13T20:12:39Z","Connaissance des logiciels courants pour l'analyse  phonologique.","2018-01-16T17:38:22Z","2019-11-19T10:47:32Z","2019-11-19T10:21:52Z","","","","","","","","",,,,,,,,
"35",":TargetCompetency","","","","","","","","TC-7843604450305924-01","Knowledge of methods and tools for Language Documentation","2018-01-16T14:34:56Z","2018-08-13T19:37:30Z","2018-08-13T20:12:39Z","Connaissance des méthodes et outils pour la Documentation  linguistique","2018-01-16T17:38:22Z","2018-02-25T12:07:08Z","2018-02-24T23:16:47Z","","","","","","","","",,,,,,,,
"36",":TargetCompetency","","","","","","","","TC-2214104916092804-01","Knowledge of the tools that are used to process, analyze, and present  statistical and instrumental data related to linguistics.","2018-01-16T14:34:56Z","2018-08-13T19:37:30Z","2018-08-13T20:12:39Z","Connaissance des outils qui servent à traiter, analyser et présenter des  données statistiques et instrumentales, liées à la linguistique.","2018-01-16T17:38:22Z","2018-02-25T12:07:08Z","2018-02-24T23:16:47Z","","","","","","","","",,,,,,,,
"37",":TargetCompetency","","","","","","","","TC-6717704543463300-01","Knowledge of methods and tools for data conversion and  cleanup.","2018-01-16T14:34:56Z","2018-08-13T19:37:30Z","2018-08-13T20:12:39Z","Connaissance des méthodes et outils de conversion et de nettoyage des  données.","2018-01-16T17:38:22Z","2018-02-25T12:07:08Z","2018-02-24T23:16:47Z","","","","","","","","",,,,,,,,
"38",":TargetCompetency","","","","","","","","TC-8633750951094148-01","Intimate knowledge of programming, software development workflows and  solutions","2018-02-07T12:35:50Z","2018-08-13T19:37:30Z","2018-08-13T20:12:39Z","Connaissance intime de la programmation, des flux de travail et des  solutions de développement de logiciels","2018-02-07T14:54:22Z","2018-02-25T12:07:08Z","2018-02-24T23:16:47Z","","","","","","","","",,,,,,,,
"39",":TargetCompetency","","","","","","","","TC-4465904729778052-01","Knowledge of archiving methods and intellectual property  regulations","2018-01-16T14:34:56Z","2018-08-13T19:37:30Z","2018-08-13T20:12:39Z","Connaissance des méthodes et règlements de propriété intellectuelle et  d’archivage","2018-01-16T17:38:22Z","2018-02-25T12:07:08Z","2018-02-24T23:16:47Z","","","","","","","","",,,,,,,,
"40",":Competency","","","","","","none","1.0","LT-67858218674052","Publishing","","","","","","","","","","7280654496884612","","","","67858218674052","",,,,,,,,
"41",":Competency","","","","","","none","1.0","LT-4571457846044548","Collaboration","","","","","","","","","","7280654496884612","","","","4571457846044548","",,,,,,,,
"42",":Competency","","","","","","none","1.0","LT-2319658032359300","Literacy Tools","","","","","","","","","","7280654496884612","","","","2319658032359300","",,,,,,,,
"43",":Competency","","","","","","none","1.0","LT-6013965486581636","Digital Vitality","","","","","","","","","","7280654496884612","","","","6013965486581636","",,,,,,,,
"44",":Competency","","","","","","none","1.0","LT-6226301522601860","Custom Skill","","","","","","","","","","7280654496884612","","","","6226301522601860","",,,,,,,,
"45",":Competency","","","","","","none","1.0","LT-5697357752887172","Teaching Skill","","","","","","","","","","6823257659729796","","","","5697357752887172","",,,,,,,,
"46",":Competency","","","","","","none","1.0","LT-2243921946404740","Problem Solving","","","","","","","","","","6823257659729796","","","","2243921946404740","",,,,,,,,
"47",":Competency","","","","","","none","1.0","LT-7104732636440452","Responsive Feedback","","","","","","","","","","6823257659729796","","","","7104732636440452","",,,,,,,,
"48",":Competency","","","","","","none","1.0","LT-7949157566572420","Language of Wider Communication","","","","","","","","","","3445557939201924","","","","7949157566572420","",,,,,,,,
"49",":Competency","","","","","","none","1.0","LT-630808172095364","English Language","","","","","","","","","","3445557939201924","","","","630808172095364","",,,,,,,,
"50",":Competency","","","","","","none","1.0","LT-5134407799465860","Local Language","","","","","","","","","","3445557939201924","","","","5134407799465860","",,,,,,,,
"51",":Competency","","","","","","none","1.0","LT-1756708078937988","Consulting","","","","","","","","","","2882607985780612","","","","1756708078937988","",,,,,,,,
"52",":Competency","","","","","","none","1.0","LT-4008507892623236","Language, Culture, and Teamwork","","","","","","","","","","2882607985780612","","","","4008507892623236","",,,,,,,,
"53",":Competency","","","","","","none","1.0","LT-349333195384708","Formal Mentoring","","","","","","","","","","2882607985780612","","","","349333195384708","",,,,,,,,
"54",":Competency","","","","","","none","1.0","LT-8488167129016196","Technology for Consulting","","","","","","","","","","2882607985780612","","","","8488167129016196","",,,,,,,,
"55",":Competency","","","","","","none","1.0","LT-2601133009069956","Professional Networking","","","","","","","","","","4852932822755204","","","","2601133009069956","",,,,,,,,
"56",":Competency","","","","","","none","1.0","LT-1475233102227332","Professional Representation","","","","","","","","","","4852932822755204","","","","1475233102227332","",,,,,,,,
"57",":Competency","","","","","","none","1.0","LT-6387269883979652","Participation and Advocacy","","","","","","","","","","4852932822755204","","","","6387269883979652","",,,,,,,,
"58",":Competency","","","","","","none","1.0","LT-4821595390797700","Domain specific education","","","","","","","","","","5978832729597828","","","","4821595390797700","",,,,,,,,
"59",":Competency","","","","","","none","1.0","LT-2569795577112452","","","","","","","","","","","5978832729597828","","","","2569795577112452","",,,,,,,,
"60",":Competency","","","","","","none","1.0","LT-7073395204482948","","","","","","","","","","","5978832729597828","","","","7073395204482948","",,,,,,,,
"61",":Competency","","","","","","none","1.0","LT-1443895670269828","","","","","","","","","","","5978832729597828","","","","1443895670269828","",,,,,,,,
"62",":Competency","","","","","","none","1.0","LT-5947495297640324","","","","","","","","","","","5978832729597828","","","","5947495297640324","",,,,,,,,
"63",":Competency","","","","","","none","1.0","LT-8957614363043716","Non-LT Education","","","","","","","","","","5978832729597828","","","","8957614363043716","",,,,,,,,
"80",":CompetencyCategory","","","blue","","","","","LT-1932629939382148","Group1","","","","","","","","1","","1","","","","1932629939382148","",,,,,,,,
"81",":CompetencyCategory","","","red","","","","","LT-7280654496884612","Group2","","","","","","","","1","","1","","","","7280654496884612","",,,,,,,,
"82",":CompetencyCategory","","","green","","","","","LT-6823257659729796","Group3","","","","","","","","1","","1","","","","6823257659729796","",,,,,,,,
"83",":CompetencyCategory","","","orange","","","","","LT-2882607985780612","Group4","","","","","","","","1","","1","","","","2882607985780612","",,,,,,,,
"84",":CompetencyCategory","","","violet","","","","","LT-4852932822755204","Group5","","","","","","","","1","","1","","","","4852932822755204","",,,,,,,,
"85",":CompetencyCategory","","","","","","","","LT-5978832729597828","Group6","","","","","","","","1","","1","","","","5978832729597828","",,,,,,,,
"86",":ShortName","","","","","","","","SN-6436229566752644-23","Language Programs","2018-01-16T14:34:56Z","2018-08-13T19:37:30Z","2019-03-07T20:56:44Z","Programmes de langue","2018-01-16T17:38:22Z","2019-11-19T08:41:14Z","2019-09-09T06:23:36Z","","","","","","","","",,,,,,,,
"87",":ShortName","","","","","","","","SN-4184429753067396-23","Computer Hardware","2018-01-16T14:34:56Z","2018-08-13T19:37:30Z","2018-08-13T20:12:39Z","Matériel informatique","2018-01-16T17:38:22Z","2019-11-19T08:41:14Z","2019-09-09T06:23:36Z","","","","","","","","",,,,,,,,
"88",":ShortName","","","","","","","","SN-8688029380437892-23","OS Basics","2018-01-16T14:34:56Z","2018-08-13T19:37:30Z","2018-08-13T20:12:39Z","Systèmes d'exploitation","2018-01-16T17:38:22Z","2018-02-25T12:07:08Z","2018-02-24T23:16:47Z","","","","","","","","",,,,,,,,
"89",":ShortName","","","","","","","","SN-525255055828868-23","Fonts & Encoding","2018-01-16T14:34:56Z","2018-08-13T19:37:30Z","2018-08-13T20:12:39Z","Polices & Encodage","2018-01-16T17:38:22Z","2018-02-26T15:01:24Z","2019-05-08T19:33:43Z","","","","","","","","",,,,,,,,
"90",":ShortName","","","","","","","","SN-5028854683199364-23","Keyboards","2018-01-16T14:34:56Z","2018-08-13T19:37:30Z","2018-08-13T20:12:39Z","Claviers","2018-01-16T17:38:22Z","2018-02-26T15:01:24Z","2018-11-14T00:44:59Z","","","","","","","","",,,,,,,,
"91",":ShortName","","","","","","","","SN-2777054869514116-23","Malware","2018-01-16T14:34:56Z","2018-08-13T19:37:30Z","2018-08-13T20:12:39Z","Programmes malveillants","2018-01-16T17:38:22Z","2018-02-25T12:07:08Z","2018-02-24T23:16:47Z","","","","","","","","",,,,,,,,
